,City,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude
0,rio gallegos,46,72,100,9.89,-51.6226,-69.2181
1,burnie,56.95,55,36,6.55,-41.0667,145.9167
2,ushuaia,41.49,95,100,4.14,-54.8,-68.3
3,vaini,82.56,83,75,12.66,-21.2,-175.2
4,olinda,78.53,89,40,5.75,-8.0089,-34.8553
5,barrow,10.42,72,0,12.66,71.2906,-156.7887
6,harper,79.99,84,81,7.02,4.375,-7.7169
7,ucluelet,46.09,87,100,16.73,48.9329,-125.5528
8,kupang,85.41,67,15,9.13,-10.1667,123.5833
9,haines junction,35.96,63,100,2.39,60.7522,-137.5108
10,hamilton,58.21,47,100,9.46,39.1834,-84.5333
11,paramonga,67.44,89,79,7.38,-10.6667,-77.8333
12,craig,53.49,30,0,4.61,40.5153,-107.5464
13,thompson,26.24,89,100,9.31,55.7435,-97.8558
14,pevek,27.54,78,100,0.85,69.7008,170.3133
15,phonhong,82.96,62,9,1.59,18.5007,102.4166
16,altenholz,40.39,87,6,3.44,54.4,10.1333
17,albany,36.39,64,13,3.36,42.6001,-73.9662
18,bose,51.21,77,100,3.06,45.4612,8.0137
19,taolanaro,,,,,,
20,maghama,,,,,,
21,sentyabrskiy,,,,,,
22,hunchun,70.39,28,0,3.27,42.8675,130.3581
23,salatiga,72.19,83,86,4.07,-7.3319,110.4928
24,laguna,64.9,53,100,16.11,38.421,-121.4238
25,gohad,92.62,14,95,1.54,26.4261,78.4447
26,bredasdorp,61.39,80,100,3.78,-34.5322,20.0403
27,shingu,64.76,76,100,8.46,33.7333,135.9833
28,khatanga,3.51,92,82,3.83,71.9667,102.5
29,santa margherita ligure,54.28,89,100,1.01,44.3346,9.212
30,touros,78.57,84,55,8.57,-5.1989,-35.4608
31,atuona,79.14,74,25,17.78,-9.8,-139.0333
32,portland,51.48,82,40,8.01,45.5234,-122.6762
33,rikitea,79.03,71,93,19.13,-23.1203,-134.9692
34,caravelas,74.07,76,0,5.06,-17.7125,-39.2481
35,lasa,43.36,96,99,2.15,46.6166,10.7002
36,nabire,87.12,65,89,4.32,-3.3667,135.4833
37,grand river south east,,,,,,
38,mys shmidta,,,,,,
39,esperance,62.2,62,100,9.01,-33.8667,121.9
40,sisimiut,17.53,51,100,9.75,66.9395,-53.6735
41,selikhino,42.22,80,100,8.52,50.3672,137.4996
42,jamestown,40.77,85,98,6.98,42.097,-79.2353
43,mount isa,89.37,20,7,12.66,-20.7333,139.5
44,ambodifototra,,,,,,
45,miri,84.52,71,93,3.04,4.4148,114.0089
46,qaanaaq,-7.58,86,100,6.67,77.484,-69.3632
47,ocos,82.58,69,0,5.21,14.5094,-92.1933
48,georgetown,84.13,79,20,3.44,5.4112,100.3354
49,cherskiy,29.07,80,58,1.72,68.75,161.3
50,narasannapeta,84.81,73,23,13.6,18.4167,84.05
51,antofagasta,61.88,79,72,4.05,-23.65,-70.4
52,zhenlai,56.1,46,100,17.29,45.8495,123.2973
53,mahebourg,76.24,84,100,5.64,-20.4081,57.7
54,victoria,76.53,79,95,4,22.2855,114.1577
55,punta arenas,48.11,61,100,16.4,-53.15,-70.9167
56,rawah,59.43,53,0,11.14,34.4816,41.9093
57,lavrentiya,26.35,84,15,2.84,65.5833,-171
58,saint-philippe,74.53,84,74,3.83,-21.3585,55.7679
59,carnarvon,82.17,34,98,10.49,-24.8667,113.6333
60,bengkulu,78.21,82,94,3.49,-3.8004,102.2655
61,port alfred,72.82,50,98,7.96,-33.5906,26.891
62,kaitangata,59.41,89,89,11.45,-46.2817,169.8464
63,new norfolk,50.95,58,84,1.99,-42.7826,147.0587
64,karaul,,,,,,
65,marienburg,43.95,93,100,6.87,54.0359,19.0266
66,high level,30.04,91,100,3.33,58.5169,-117.136
67,kruisfontein,69.76,31,100,8.19,-34.0033,24.7314
68,guane,74.35,67,24,3.44,22.2025,-84.0875
69,yellowknife,23.94,90,8,4.16,62.456,-114.3525
70,ponta do sol,61.84,69,9,4.12,32.6667,-17.1
71,mataura,55.47,95,100,5.95,-46.1927,168.8643
72,hasaki,66.6,72,99,9.48,35.7333,140.8333
73,cockburn town,77.68,79,100,16.13,21.4612,-71.1419
74,clyde river,1.63,85,100,2.3,70.4692,-68.5914
75,aksu,69.76,30,100,5.97,41.1231,80.2644
76,suraabad,55.29,78,75,26.55,40.8192,49.4687
77,kavaratti,84.4,74,35,10.8,10.5669,72.642
78,hyeres,54.72,93,100,6.91,43.1167,6.1167
